Sample,dD,dP,dH,R0
Polyvinyl acetal(S-LEC BH-3),17.0863067293099,10.2061606640471,15.6490038017495,8.89610191389331
Polyvinyl acetal(S-LEC BL-1),16.6474105567304,10.9296905166861,14.8229560897627,10.9620117491669
Polyvinyl acetal(S-LEC BL-2H),16.3681623126004,10.1208049476328,13.4665822814312,9.71135307028929
Polyvinyl acetal(S-LEC BL-5Z),16.6731729527561,7.31939850967998,8.88306818974849,10.7632597058845
Polyvinyl acetal(S-LEC BL-10),16.2559618340148,8.71744618820737,10.8447640133352,12.2230157641789
Polyvinyl acetal(S-LEC BM-1),16.6797766520919,9.92076216685516,15.6372676965175,10.8796291054889
Polyvinyl acetal(S-LEC BM-2),16.4308938195338,10.7654177645079,13.6876041944219,10.3404207301328
Polyvinyl acetal(S-LEC BM-S),16.3861259545692,8.11084272923632,9.76220932532939,10.7566566127601
Polyvinyl acetal(S-LEC BH-A),16.0808326185514,9.02888486724049,11.455190575785,11.4960087057104
Polyvinyl acetal(S-LEC BX-L),16.3662454093831,10.5482369692657,13.4311147148274,10.0651887996881
Polyvinyl acetal(S-LEC BX-5),16.6041508017384,9.8516534736677,10.6949503283665,12.2360719649554
Polyvinyl acetal(S-LEC KS--6Z),16.6585919978114,11.4531044503675,9.5911383498767,13.1129414158887
Polyvinyl acetal(S-LEC KS-10),16.6055395113966,9.85052387606194,10.6942713316082,12.2376250999767
