Resin,Cas,gamma_s(Polar),gamma_sd,gamma_sP,gamma_s(Acid-Base),gamma_sLW,gamma_sAB,gamma_s-,gamma_s+,delta,delta_D,delta_P,delta_H,R0
Polyvinyl acetate (PVA),9003-20-7,37.7,24.8,13,44.5,42.6,1.9,0.04,22.3,25.7,20.9,11.3,9.7,13.7
Polystyrene (PS),9003-53-6,41.7,37,5,36.9,37.9,-0.9,0.1,2.2,23.9,22.8,5.8,4.3,12.7
Cellulose acetate butyrate (CAB),9004-36-8,,,,,,,,,22.2,17.2,13.8,2.8,12.6
Epoxies,,45,37.2,7.8,,,,,,24.1,19.2,10.9,9.6,11.1
"Polymethyl methacrylate (PMMA, acrylic, plexiglas)",9011-14-7,43.5,35.9,7.8,42.2,41.6,0.6,0,11.1,21.3,17.9,10.1,5.4,11
Polyacrylonitrile (PAN),25014-41-9,,,,,,,,,27.4,21.7,14.1,9.1,10.9
Nitrocellulose (cellulose nitrate),9004-70-0,,,,45.1,44.8,0.3,0.01,13.3,23.5,16.2,14.1,9.5,10.7
Cellulose acetate (CA),9004-35-7,42,31,11.1,43.5,39,4.5,0.3,22.2,23.5,17.1,13.1,9.4,10.6
Polyvinyl alcohol (PVOH),25213-24-5,,,,42,42,0,0,37,25.2,14.7,14.1,14.9,10.5
Polyisoprene (PIP),9003-31-0,,,,,,,,,18.4,18.1,2.4,2.3,10.3
Polycarbonate (PC),24936-68-3,43.4,38.2,5.2,,,,,,22.2,19.6,8.8,5.7,10.2
Polyvinyl butyral,63148-65-2,,,,,,,,,24.6,19.1,9.5,12.2,10
Polyurethanes,,39.3,30.8,8.6,30,30.9,-0.9,0.02,10,22.8,18.8,10,8.2,9.8
Polyethyl methacrylate (PEMA),9003-42-3,35.9,26.9,9,,,,,,20,17.5,8.5,4.7,9.6
Poly n-butyl methacrylate (PnBMA),95608-33-7,32.3,27.3,5,,,,,,18.4,16,6.2,6.6,9.5
Poly iso-butyl methacrylate (PIBMA),9011-15-8,30.9,26.3,4.7,,,,,,20,18.3,4.9,6.3,9.4
Polysulfone (PSU),25135-51-7,46.6,30.4,16.2,,,,,,21.5,18.5,8.5,7,9.4
Acrylonitrile butadiene styrene (ABS),9003-56-9,43.6,35.8,8,38.6,39.4,-0.8,0.9,3.7,19.2,17,5.7,6.8,9.4
Polyphenylene oxide (PPO),25134-01-04,46,36,10,,,,,,20.1,17.9,3.1,8.5,8.6
Polyvinyl chloride (PVC),9002-86-2,40.1,37.4,2.8,39.8,38.7,1,0.1,3.1,20,16.8,8.9,6.1,8.5
"Polyisobutylene (PIB, butyl (rubber)",9003-27-4,33.6,33.6,0,25,25,0,0,0,17.1,16.4,1.7,4.7,7.9
Ethyl cellulose,9004-57-3,,,,28.6,27.4,1.2,0.04,8.6,20.4,19,5.6,4.9,7.9
Cellophane,9005-81-6,45.4,29.8,15.6,,,,,,28.5,16.1,18.5,14.5,7.3
Polyphenylene sulfide (PPS),26125-40-6,46.8,44,2.8,,,,,,19.8,18.7,5.3,3.7,6.7
Polybutadiene,9003-17-2,,,,,,,,,18,17.5,2.3,3.4,6.6
Polyethylene (PE),9002-88-4,34.2,32.8,1.4,31.7,31.5,0.2,0.1,0.9,17.6,16.8,3.8,3.8,6.6
Polyethylene terephthalate (PET),25038-59-9,43.7,36.6,7.2,45.3,42.6,1.8,0.3,3.7,20.8,18.7,6.3,6.7,6.5
Polyethersulfone (PES),25154-01-02,47,40,7,,,,,,21,18.3,8.2,6.4,6.3
Nylon 12,24937-16-4,38.2,33.1,5.2,41.3,37,4.3,0.6,7.6,22.2,18.5,8.1,9.1,6.3
Polypropylene (PP),,30.1,27.7,2.4,32,31.7,0.3,0.2,0.4,18,17.7,2.9,1.2,6.2
Polychlorotrifluoroethylene,9002-83-9,29.5,22.6,6.9,,,,,,16.5,15.6,2.5,4.7,5.8
"Polyvinylidene chloride (PVDC, Saran)",9002-85-1,45.3,40.4,4.9,40.3,40.4,-0.1,0,2.6,23.1,19,9.6,9,5.8
Nylon 11,25587-80-8,,,,,,,,,20.5,17,4.4,10.6,5.1
"Nylon 6 (polycaprolactum, aramid 6)",25038-54-4,42.7,33.1,9.6,45.3,42.5,2.8,0.2,9.6,20.3,17,3.4,10.6,5.1
Polyetherimide (PEI),61128-46-9,,,,,,,,,19.8,17.7,6,6.4,4.8
"Nylon 6,6",32131-17-2,44.8,36.3,9.8,40.2,36.9,3.3,1.5,12.1,25.8,17.2,9.9,16.5,4.4
Polyvinylidene fluoride (PVDF),24937-79-9,34.4,25.7,8.7,30.5,28.6,1.9,10.5,0.08,23.2,17,12.1,10.2,4.1
Fluorinated ethylene polypropylene (FEP),25067-11-02,19.9,17.1,2.8,17.9,17.9,0,0,0,19.6,19,4,3,4
Polytetrafluoroethylene (PTFE),9002-84-0,22.2,21.3,0.9,20.8,19.9,0.9,0.1,1.6,16.7,16.2,1.8,3.4,3.9
Polymethacrylonitrile (PMAN),25067-61-2,,,,,,,,,23.7,17.2,14.4,7.6,3.8
