Green Solvents,dD,dP,dH,CAS,Chemical Formula,Family,CHO
"1,3-dioxolane",18.1,6.6,9.3,646-06-0,C3H6O2,Acetals,TRUE
1-Butyl-3-Methylimidazolium Chloride,13.4,8.2,9.6,79917-90-1,C8H15ClN2,Ionic Liquids,FALSE
1-Ethyl-3-methylimidazolium acetate,17.3,6.8,8.7,143314-17-4,C8H14N2O2,Ionic Liquids,FALSE
1-Ethyl-3-methylimidazolium tetrafluoroborate,16.5,4.2,7,143314-16-3,C6H11BF4N2,Ionic Liquids,FALSE
"2,5-Dimethyltetrahydrofuran",15.8,2.8,5.7,1003-38-9,C6H12O,ethers,TRUE
2-Ethylhexyl pelargonate,14.9,6.8,8.3,59587-44-9,C17H34O2,esters,TRUE
2-Methyloxolane (2-MeOx),16.8,5.7,6.2,96-47-9,C5H10O,ethers,TRUE
Agnique ME (mix methyl ester)®,16.4,3.3,4.7,85566-26-3,"Fatty acids, C8-10, Me esters",Fatty Acid Methyl Esters (FAME),TRUE
Benzyl Alcohol,16,6.3,13,100-51-6,C7H8O,Alcohols,TRUE
Butyl Lactate,15.2,7.3,6.4,138-22-7,C7H14O3,esters,TRUE
WAX RESCUE,14.7,3.43,5.9,2568-90-3,C9H20O2,Acetals,TRUE
Choline Chloride,17,15.5,21.2,67-48-1,C5H14ClNO,DES,FALSE
Cyclopentyl Methyl Ether,15.3,6.8,5.8,5614-37-9,C6H12O,Ethers,TRUE
Cyrene,16.8,9,7.8,53716-82-8,C6H8O3,ethers,TRUE
Dimethyl Carbonate,16.8,5.5,9.3,616-38-6,C3H6O3,Carbonates,TRUE
Dimethyl Glutarate,15.3,7.5,6.3,1119-40-0,C7H12O4,esters,TRUE
Dimethyl sulfoxide,18.4,16.4,10.2,67-68-5,C2H6OS,Sulfoxide,FALSE
Ethanol,15.8,8.8,19.4,64-17-5,C2H6O,Alcohols,TRUE
Ethyl lactate,16.2,8.3,7.1,687-47-8,C5H10O3,esters,TRUE
Glycerol (anhydrous),10.8,2.5,9.3,56-81-5,C3H8O3,Alcohols,TRUE
Glycerol Carbonate,15.5,8.2,7.8,1379618-83-3,C13C3H6O4,Carbonates,TRUE
Glycerol Formal,16.37,11.99,19.63,99569-11-6,C8H16O6,Acetals,TRUE
Glycerol Triethyl Ether,15.5,4.8,3.6,13236-02-07,C12H20O6,ethers,TRUE
Glycerol Trimethyl Ether,15.5,5.7,3.6,25498-49-1,C10H22O4,ethers,TRUE
Isopropanol,15.8,9.5,17.4,67-63-0,C3H8O,Alcohols,TRUE
Isopropyl Palmitate,16.2,3.9,3.7,142-91-6,C19H38O2,esters,TRUE
Isosorbide Dimethyl Ether,14.9,6.9,6.5,5306-85-4,C8H14O4,ethers,TRUE
Lactic acid,16.1,7.5,7.6,50-21-5,C3H6O3,organic acid,TRUE
Levoglucosenone,15.6,9.2,11.1,37112-31-5,C6H6O3,others,TRUE
Limonene (D-(+)-Limonene),17.2,1.8,4.3,5989-27-5,C₁₀H₁₆,Terpen,TRUE
Methanol,15.1,12.3,22.3,67-56-1,CH4O,Alcohols,TRUE
Methyl 5-(dimethylamino)-2-methyl-5-oxopentanoate,16.7,8.9,8,1174627-68-9,C9H17NO3,Fatty Acid Methyl Esters (FAME),FALSE
Methyl decanoate,14.8,2.7,4.5,110-42-9,C11H22O2,Fatty Acid Methyl Esters (FAME),TRUE
Methyl isocyanate,15.9,2.4,5.7,624-83-9,C2H3NO,Fatty Acid Methyl Esters (FAME),FALSE
Methyl Caproate (Methyl hexanoate),16,4.3,5.8,106-70-7,C7H14O2,Fatty Acid Methyl Esters (FAME),TRUE
Methyl Capylate (Caprylic acid methyl ester),15.4,2.7,5.9,0111-11-05,C9H18O2,Fatty Acid Methyl Esters (FAME),TRUE
Methyl Cocoate (Coconut fatty acid methyl esters),16,2,5,61788-59-8,C14H28O2,Fatty Acid Methyl Esters (FAME),TRUE
Methyl Laurate,16,2.1,5.2,111-82-0,C13H26O2,Fatty Acid Methyl Esters (FAME),TRUE
Methyl linoleate,16.2,1.7,4.2,112-63-0,C19H34O2,Fatty Acid Methyl Esters (FAME),TRUE
Methyl Myristate,16,1.9,4.2,0124-10-07,C15H30O2,Fatty Acid Methyl Esters (FAME),TRUE
Methyl Oleate,15.8,5.9,6.5,112-62-9,C19H36O2,Fatty Acid Methyl Esters (FAME),TRUE
Methyl Palmitate,16,1.6,3.6,112-39-0,CH3(CH2)14CO2CH3,Fatty Acid Methyl Esters (FAME),TRUE
Methyl Ricinoleate,16.4,3.5,9.3,141-24-2,C19H36O3,Fatty Acid Methyl Esters (FAME),TRUE
Methyl Soyate,16.1,1.6,3.8,67784-80-9,C19H36O2,Fatty Acid Methyl Esters (FAME),TRUE
Methyl Stearate (C18),16,6.2,6.8,27234-05-05,C19H38O2,Fatty Acid Methyl Esters (FAME),TRUE
Methylal,14.83,6.01,8.76,109-87-5,C₃H₈O2,Acetals,TRUE
Propylal,15.11,3.95,6.32,505-84-0,C₇H₁₆O2,Acetals,TRUE
Propylene Carbonate,17.2,4.9,9.1,108-32-7,C4H6O3,Carbonates,TRUE
Propylene Glycol,17,12,26,57-55-6,C3H8O2,Alcohols,TRUE
"Solketal (2,2-Dimethyl-1,3-dioxolane-4-methanol)",16.2,7.3,6.8,100-79-8,C6H12O3,Acetals,TRUE
Tetrahydropyran,16,9.1,6.2,142-68-7,C5H10O,ethers,TRUE
Triacetin,16,7.5,10,102-76-1,C9H14O6,Glycerol Derivatives,TRUE
α-Pinene,16,2.1,1.9,80-56-8,C10H16,Terpen,TRUE
γ-Valerolactone,17.8,5,7.4,108-29-2,C5H8O2,Esters,TRUE
Ethyl Acetate,15.8,5.3,7.2,141-78-6,C4H8O2,Esters,TRUE
"Ethylene glycol (1,2-Ethanediol)",7,11,26,107-21-1,C2H6O2,Alcohols,TRUE
