Solvent,delta_D,delta_P,delta_H,delta,Tm
Glycerin,17.4,11.3,27.2,34.2,18
"1,5-pentanediol",17,8.9,19.8,31.1,-16
"3-Methyl-1,5-pentanediol",16.7,8.1,17.6,29.5,
Neopentyl glycol (NPG),16.3,7.1,16.6,28.4,128
"2-Methyl-2,4-pentanediol",16.7,6.8,15,28,-40
Diethylene glycol,16.6,12,19,27.9,-7
"1,3-butylene glycol (1,3-BG)",16.5,8.1,20.9,27.8,-77
Tetraethyl glycol,16.5,9.4,15.3,27.8,-6
Tripropylene glycol,16.9,9.9,13.9,27.6,-30
Triethylene glycol,16,12.5,18.6,27.5,
N-Ethyltoluene Sulfonamide,18.6,13,7.8,27.4,
Diethylene glycol monoacetate,16.7,8.4,13.7,27.3,-32
"2-ethyl-1,3-hexanediol (EHD)",16.4,6.2,14,27.1,-40
Dimethyl sulfoxide,18.4,16.4,10.2,26.7,18
sulfolane (SF),17.8,17.4,8.7,26.4,27
Dipropylene glycol,16.5,10.6,17.7,26.4,-40
"2,5-dimethyl-2,5-hexanediol",16.4,5.6,11,25.7,89
γ-Butyrolactone,18,16.6,7.4,25.6,-42
Dialyl phthalate,17.8,8.5,4,25.5,
α-terpineol,17.1,3.6,7.6,25.3,31
"1,6-Hexanediol",15.7,8.4,17.8,25.2,39
Tetrahydrofurfuryl acetate,16.9,6.5,7.2,25,
Bis phthalate (2-methoxyethyl),17.2,9.7,5.4,24.9,-45
Diethyl maleate,16.7,5.6,7.6,24.8,-10
Diethyl fumarate,16.7,5.6,7.6,24.8,2
Mentanol,16.8,3.5,6.6,24.7,35
Propylene glycol diacetate,16.4,5.5,7.9,24.5,-75
"1,4-Butanediol diacetate",16.4,5.5,7.4,24.3,
"1,3-butylene glycol diacetate",16.4,5.2,7.4,24.3,
Ethyl lactate acetate,16.3,5.5,7.6,24.3,
Tarpinyl acetate,16.7,2.8,4.2,24,<−80
Polyethylene glycol(6000),16.5,6.9,4.8,23.8,62
Tripropylene glycol-methyl-n-propyl ether,15.9,6.2,7.1,23.6,
Diisobutyl fumarate,16.2,3.6,5.3,23.5,8
Dihydrotestosterone acetate,16.4,2.7,3.4,23.4,
Dipropylene glycol methyl-n-propyl ether,15.6,4.3,4.1,22.4,-14.5
Dipropylene glycol-methyl-isopentyl ether,15.5,3.7,3.7,22.2,
Triethyl phosphate,16.7,11.4,9.2,22.2,
Dimethyl phthalate,18.6,10.8,4.9,22.1,5.5
"1,1,3,3-tetramethylurea",16.7,8.2,11,21.6,
Trimethyl phosphate,15.7,10.5,10.2,21.5,-46
Triethyl citrate,16.5,4.9,12,21,-45
Dipropylene glycol methyl ether,15.5,5.7,11.2,20,-25.2
Dipropylene glycol n-propyl ether,15.6,6.1,11,20,<−80
Diethyl phthalate,17.6,9.6,4.5,20.5,-41
Di-n-butyl phthalate,17.8,8.6,4.1,20.2,-35
Diethylene glycol monobutyl ether,15.7,6.5,10,19.7,-68
Dipropylene glycol n-butyl ether,15.7,6.5,10,19.7,<−75
Dimethyl succinate,16.1,7.7,8.8,19.9,18
Dimethyl adipate,16.3,6.8,8.5,19.6,10
Diethyl succinate,16.2,6.8,8.7,19.6,
Glycerol triacetate,16.5,4.5,9.1,19.4,-78
Tripropylene glycol methyl ether,15.3,5.5,10.4,19.3,<−78
Bis sebacate (2-ethylhexyl),16.2,5,9,19.2,-67
Diethyl adipic acid,16.4,6.2,7.5,19.1,-20
o-Triethyl Acetyl Citrate,16.6,3.5,8.6,19,
Dipropylene glycol methyl ether acetate,16.3,4.9,8,18.8,-25
Bis phthalate (2-ethylhexyl),16.6,7,3.1,18.3,-50
Di-n-butyl fumarate,16.7,3,6.7,18.2,-35
Tributyl phosphate,16.3,6.3,4.3,18,-79
Di-n-butyl sebacate,16.7,4.5,4.1,17.8,-11
